codimuni,codicomarca,provincia,comarca,partitjudicial,municipi,poblacio,homes,dones,greus,moltgreus,siadmuni,siadsnombre,siadstitularitat,tasadenuncia,estimaciodenuncies,tasaateses,estimacioateses,tasaatesesvm
250753,35,Lleida,Solsonès,Solsona,Clariana de Cardener,147,74,62,4,1,No,1,el Consell Comarcal,8.84,0,4.09,0,9.1
251116,35,Lleida,Solsonès,Solsona,Guixers,138,88,45,3,1,No,1,el Consell Comarcal,8.84,0,4.09,0,9.1
250642,35,Lleida,Solsonès,Solsona,Castellar de la Ribera,137,70,54,3,1,No,1,el Consell Comarcal,8.84,0,4.09,0,9.1
251364,35,Lleida,Solsonès,Solsona,la Molsosa,109,54,51,3,1,No,1,el Consell Comarcal,8.84,0,4.09,0,9.1
252234,32,Lleida,Segarra,Solsona,Torà,1244,624,546,33,13,No,1,el Consell Comarcal,8.84,3,3.58,1,44.4
251919,32,Lleida,Segarra,Solsona,Sanaüja,393,206,169,10,4,No,1,el Consell Comarcal,8.84,1,3.58,0,44.4
250557,32,Lleida,Segarra,Solsona,Biosca,181,97,77,5,2,No,1,el Consell Comarcal,8.84,0,3.58,0,44.4
81213,21,Barcelona,Maresme,Mataró,Mataró,126988,62945,53846,3285,1238,Mataró,2,l'Ajuntament i el Consell Comarcal,8.7,286,2.36,77,32.6
81727,21,Barcelona,Maresme,Mataró,Premià de Mar,28071,13720,12290,750,283,Premià de Mar,1,l'Ajuntament,8.7,65,2.36,18,32.6
81189,21,Barcelona,Maresme,Mataró,el Masnou,23340,11266,10419,636,240,el Masnou,1,l'Ajuntament,8.7,55,2.36,15,32.6
82191,21,Barcelona,Maresme,Mataró,Vilassar de Mar,20764,10018,9079,554,209,Vilassar de Mar,1,l'Ajuntament,8.7,48,2.36,13,32.6
80095,21,Barcelona,Maresme,Mataró,Argentona,12295,6053,5237,319,120,No,1,el Consell Comarcal,8.7,28,2.36,8,32.6
81976,21,Barcelona,Maresme,Mataró,Sant Andreu de Llavaneres,10877,5370,4651,284,107,No,1,el Consell Comarcal,8.7,25,2.36,7,32.6
82303,21,Barcelona,Maresme,Mataró,Premià de Dalt,10429,5206,4400,268,101,No,1,el Consell Comarcal,8.7,23,2.36,6,32.6
80039,21,Barcelona,Maresme,Mataró,Alella,9764,4751,4273,261,98,No,1,el Consell Comarcal,8.7,23,2.36,6,32.6
82140,21,Barcelona,Maresme,Mataró,Vilassar de Dalt,9013,4435,3860,235,89,No,1,el Consell Comarcal,8.7,20,2.36,6,32.6
82824,21,Barcelona,Maresme,Mataró,Tiana,8709,4170,3756,229,86,No,1,el Consell Comarcal,8.7,20,2.36,5,32.6
80305,21,Barcelona,Maresme,Mataró,Cabrils,7348,3626,3089,188,71,No,1,el Consell Comarcal,8.7,16,2.36,4,32.6
82649,21,Barcelona,Maresme,Mataró,Sant Vicenç de Montalt,6372,3194,2647,161,61,No,1,el Consell Comarcal,8.7,14,2.36,4,32.6
82819,21,Barcelona,Maresme,Mataró,Teià,6312,3093,2785,170,64,No,1,el Consell Comarcal,8.7,15,2.36,4,32.6
80752,21,Barcelona,Maresme,Mataró,Dosrius,5281,2681,2166,132,50,No,1,el Consell Comarcal,8.7,11,2.36,3,32.6
80291,21,Barcelona,Maresme,Mataró,Cabrera de Mar,4664,2346,1968,120,45,No,1,el Consell Comarcal,8.7,10,2.36,3,32.6
80327,21,Barcelona,Maresme,Mataró,Caldes d'Estrac,2859,1380,1292,79,30,No,1,el Consell Comarcal,8.7,7,2.36,2,32.6
81537,21,Barcelona,Maresme,Mataró,Òrrius,730,375,294,18,7,No,1,el Consell Comarcal,8.7,2,2.36,0,32.6
82665,40,Barcelona,Vallès Occidental,Cerdanyola del Vallès,Cerdanyola del Vallès,57740,28259,25402,1550,584,Cerdanyola del Vallès,1,l'Ajuntament,8.15,126,5.51,85,35.8
81803,40,Barcelona,Vallès Occidental,Cerdanyola del Vallès,Ripollet,38347,18980,15973,974,367,Ripollet,1,l'Ajuntament,8.15,79,5.51,54,35.8
81252,40,Barcelona,Vallès Occidental,Cerdanyola del Vallès,Montcada i Reixac,35599,17522,15068,919,347,Montcada i Reixac,1,l'Ajuntament,8.15,75,5.51,51,35.8
82520,40,Barcelona,Vallès Occidental,Cerdanyola del Vallès,Barberà del Vallès,32839,16167,13912,849,320,Barberà del Vallès,1,l'Ajuntament,8.15,69,5.51,47,35.8
89045,40,Barcelona,Vallès Occidental,Cerdanyola del Vallès,Badia del Vallès,13417,6565,5839,356,134,Badia del Vallès,1,l'Ajuntament,8.15,29,5.51,20,35.8
81878,40,Barcelona,Vallès Occidental,Sabadell,Sabadell,211734,102927,92228,5626,2121,Sabadell,1,l'Ajuntament,7.95,447,5.51,310,35.8
82606,40,Barcelona,Vallès Occidental,Sabadell,Santa Perpètua de Mogoda,25705,12933,10526,642,242,Santa Perpètua de Mogoda,1,l'Ajuntament,7.95,51,5.51,35,35.8
80517,40,Barcelona,Vallès Occidental,Sabadell,Castellar del Vallès,24036,11855,10229,624,235,Castellar del Vallès,1,l'Ajuntament,7.95,50,5.51,34,35.8
82384,40,Barcelona,Vallès Occidental,Sabadell,Sant Quirze del Vallès,19939,9754,8281,505,190,Sant Quirze del Vallès,1,l'Ajuntament,7.95,40,5.51,28,35.8
81568,40,Barcelona,Vallès Occidental,Sabadell,Palau-solità i Plegamans,14636,7160,6232,380,143,No,1,el Consell Comarcal,7.95,30,5.51,21,35.8
82671,40,Barcelona,Vallès Occidental,Sabadell,Sentmenat,8957,4532,3662,223,84,No,1,el Consell Comarcal,7.95,18,5.51,12,35.8
81672,40,Barcelona,Vallès Occidental,Sabadell,Polinyà,8389,4230,3267,199,75,No,1,el Consell Comarcal,7.95,16,5.51,11,35.8
82233,40,Barcelona,Vallès Occidental,Sabadell,Sant Llorenç Savall,2371,1190,1012,62,23,No,1,el Consell Comarcal,7.95,5,5.51,3,35.8
80879,40,Barcelona,Vallès Occidental,Sabadell,Gallifa,169,90,73,4,2,No,1,el Consell Comarcal,7.95,0,5.51,0,35.8
82055,40,Barcelona,Vallès Occidental,Rubí,Sant Cugat del Vallès,90664,44106,38017,2319,874,Sant Cugat del Vallès,1,l'Ajuntament,7.46,173,5.51,128,35.8
81846,40,Barcelona,Vallès Occidental,Rubí,Rubí,76423,37840,32181,1963,740,Rubí,1,l'Ajuntament,7.46,146,5.51,108,35.8
80543,40,Barcelona,Vallès Occidental,Rubí,Castellbisbal,12332,6244,4950,302,114,No,1,el Consell Comarcal,7.46,23,5.51,17,35.8
171143,19,Girona,Garrotxa,Olot,Olot,34486,17139,14807,903,341,Olot,1,el Consell Comarcal,6.69,60,6.76,61,43.7
172076,19,Girona,Garrotxa,Olot,la Vall d'en Bas,3029,1528,1262,77,29,No,1,el Consell Comarcal,6.69,5,6.76,5,43.7
171851,19,Girona,Garrotxa,Olot,Sant Joan les Fonts,2966,1506,1278,78,29,No,1,el Consell Comarcal,6.69,5,6.76,5,43.7
170195,19,Girona,Garrotxa,Olot,Besalú,2467,1161,1103,67,25,No,1,el Consell Comarcal,6.69,5,6.76,5,43.7
171390,19,Girona,Garrotxa,Olot,les Preses,1763,873,738,45,17,No,1,el Consell Comarcal,6.69,3,6.76,3,43.7
171334,19,Girona,Garrotxa,Olot,les Planes d'Hostoles,1660,843,719,44,17,No,1,el Consell Comarcal,6.69,3,6.76,3,43.7
171848,19,Girona,Garrotxa,Olot,Santa Pau,1573,794,675,41,16,No,1,el Consell Comarcal,6.69,3,6.76,3,43.7
